City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,narsaq,60.9167,-46.05,19.62,87,100,6.33,GL,1675621294
145,letlhakane,-21.4167,25.5833,82.22,42,89,3.31,BW,1675621295
146,deep river,46.1001,-77.4995,32.43,99,100,5.68,CA,1675621143
147,pochutla,15.7432,-96.4661,89.42,39,0,7.83,MX,1675621112
148,dikson,73.5069,80.5464,-3.71,97,100,2.48,RU,1675621020
149,srednekolymsk,67.45,153.6833,-35.09,100,100,5.86,RU,1675621232
150,salemi,37.8231,12.8056,46.18,68,6,5.91,IT,1675621296
151,isangel,-19.55,169.2667,80.06,82,100,6.4,VU,1675621030
152,kui buri,12.0828,99.8543,74.34,89,16,5.08,TH,1675621296
153,chapais,49.7834,-74.8492,6.58,82,100,7.76,CA,1675621297
154,thompson,55.7435,-97.8558,1.56,78,75,3.44,CA,1675621297
155,bathsheba,13.2167,-59.5167,83.01,65,40,24.16,BB,1675621298
156,kaitangata,-46.2817,169.8464,55.6,91,97,6.46,NZ,1675621243
157,arman,59.7,150.1667,-15.05,83,86,8.19,RU,1675621298
158,caravelas,-17.7125,-39.2481,86.13,61,0,13.22,BR,1675621299
159,praia,14.9215,-23.5087,75.74,57,20,20.71,CV,1675621115
160,bairiki,1.3292,172.9752,80.6,83,40,11.5,KI,1675621014
161,maniitsoq,65.4167,-52.9,3.18,88,100,13.35,GL,1675621299
162,luderitz,-26.6481,15.1594,68.11,71,14,21.72,NA,1675621181
163,longyearbyen,78.2186,15.6401,24.64,74,40,37.98,SJ,1675621300
164,ayan,56.45,138.1667,-7.83,81,98,7.94,RU,1675621300
165,clyde river,70.4692,-68.5914,-14.57,64,100,12.66,CA,1675621070
166,carnarvon,-24.8667,113.6333,76.98,76,2,13.82,AU,1675621301
167,hokitika,-42.7167,170.9667,62.58,84,28,19.04,NZ,1675621301
168,lasa,46.6166,10.7002,36.48,93,29,6.17,IT,1675621302
169,ketchikan,55.3422,-131.6461,37.87,87,20,3.44,US,1675621302
170,inirida,3.8653,-67.9239,86.7,62,96,2.57,CO,1675621303
171,karimganj,24.8667,92.35,59.43,56,0,3.6,IN,1675621303
